count	serotype	accessionNumber	comments	reference	referenceUrl	cpsImage	cpsRemark	genBankFile	poolSerum	typeSerum	groupSerum	factorSerum	otherSerum	otherSerumRemark	antiserumNote	capsularStructureImage	capsularStructureRemark
37	13	CR931661	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_13_cps.svg	-	res/serotype_genbank/serotype_13.gb	H	13	-	-	-	-	-	serotype_13_capsular_structure.svg	-
38	14	CR931662	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_14_cps.svg	-	res/serotype_genbank/serotype_14.gb	"H,P"	14	-	-	-	-	-	serotype_14_capsular_structure.svg	-
39	15A	CR931663	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_15A_cps.svg	-	res/serotype_genbank/serotype_15A.gb	"H,S"	-	15	15c	-	-	-	serotype_15A_capsular_structure.svg	-
40	15B	CR931664	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_15B_cps.svg	-	res/serotype_genbank/serotype_15B.gb	"H,S"	-	15	"15b,15e,15h"	-	-	-	serotype_15B_capsular_structure.svg	-
41	15C	CR931665	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_15C_cps.svg	-	res/serotype_genbank/serotype_15C.gb	"H,S"	-	15	15e	-	-	-	serotype_15C_capsular_structure.svg	-
42	15D	SAMN14150919	-	Pimenta et al 2021  J Clin Microbiol	https://doi.org/10.1128/jcm.00329-21	serotype_15D_cps.svg	-	res/serotype_genbank/serotype_15D.gb	"H,S"	-	15	"15b,15c"	"15bf,15g"	"Antiserum available at CDC,Antiserum available at CDC"	Cannot be identified only by SSI Antiseria	serotype_15F_capsular_structure.svg	Predicted
43	15F	CR931666	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_15F_cps.svg	-	res/serotype_genbank/serotype_15F.gb	"H,S"	-	15	"15b,15c"	-	-	-	serotype_15F_capsular_structure.svg	-
44	16A	CR931667	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_16A_cps.svg	-	res/serotype_genbank/serotype_16A.gb	D	-	16	16c	-	-	-	serotype_16A_capsular_structure.svg	-
45	16F	CR931668	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_16F_cps.svg	-	res/serotype_genbank/serotype_16F.gb	D	-	16	16b	-	-	-	serotype_16F_capsular_structure.svg	-
46	17A	CR931669	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_17A_cps.svg	-	res/serotype_genbank/serotype_17A.gb	"F,S"	-	17	17c	-	-	-	serotype_17A_capsular_structure.svg	-
47	17F	CR931670	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_17F_cps.svg	-	res/serotype_genbank/serotype_17F.gb	"F,S"	-	17	17b	-	-	-	serotype_17F_capsular_structure.svg	-
48	18A	CR931671	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_18A_cps.svg	-	res/serotype_genbank/serotype_18A.gb	"A,Q"	-	18	18d	-	-	-	serotype_18A_capsular_structure.svg	-
49	18B	CR931672	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_18B_cps.svg	-	res/serotype_genbank/serotype_18B.gb	"A,Q"	-	18	18e	-	-	-	serotype_18B_capsular_structure.svg	-
50	18C	CR931673	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_18C_cps.svg	-	res/serotype_genbank/serotype_18C.gb	"A,Q"	-	18	"18c,18e"	-	-	-	serotype_18C_capsular_structure.svg	-
51	18F	CR931674	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_18F_cps.svg	-	res/serotype_genbank/serotype_18F.gb	"A,Q"	-	18	"18c,18e,18f"	-	-	-	serotype_18F_capsular_structure.svg	-
52	19A	CR931675	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_19A_cps.svg	-	res/serotype_genbank/serotype_19A.gb	"B,P"	-	19	19c	-	-	-	serotype_19A_capsular_structure.svg	-
53	19B	CR931676	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_19B_cps.svg	-	res/serotype_genbank/serotype_19B.gb	"B,P"	-	19	7h	-	-	-	serotype_19B_capsular_structure.svg	-
54	19C	CR931677	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_19C_cps.svg	-	res/serotype_genbank/serotype_19C.gb	"B,P"	-	19	"19f,7h"	-	-	-	serotype_19C_capsular_structure.svg	-
55	19F	CR931678	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_19F_cps.svg	-	res/serotype_genbank/serotype_19F.gb	"B,P"	-	19	19b	-	-	-	serotype_19F_capsular_structure.svg	-
56	20A	JQ653094	-	Calix et al 2012 J Biol Chem	https://doi.org/10.1074/jbc.M112.380451	serotype_20A_cps.svg	-	res/serotype_genbank/serotype_20A.gb	-	-	-	-	-	-	-	serotype_20A_capsular_structure.svg	-
57	20B	JQ653093	-	Calix et al 2012 J Biol Chem	https://doi.org/10.1074/jbc.M112.380451	serotype_20B_cps.svg	-	res/serotype_genbank/serotype_20B.gb	-	-	-	-	-	-	-	serotype_20B_capsular_structure.svg	-
58	20C	ERR980181	-	Yu et al 2024 Microbiol Spectr	https://doi.org/10.1128/spectrum.02443-24	serotype_20C_cps.svg	-	res/serotype_genbank/serotype_20C.gb	-	-	-	-	-	-	-	serotype_20C_capsular_structure.svg	-
59	21	CR931680	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_21_cps.svg	-	res/serotype_genbank/serotype_21.gb	E	21	-	-	-	-	-	-	-
60	22A	CR931681	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_22A_cps.svg	-	res/serotype_genbank/serotype_22A.gb	"F,T"	-	22	22c	-	-	-	serotype_22A_capsular_structure.svg	-
61	22F	CR931682	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_22F_cps.svg	-	res/serotype_genbank/serotype_22F.gb	"F,T"	-	22	22b	-	-	-	serotype_22F_capsular_structure.svg	-
62	23A	CR931683	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_23A_cps.svg	-	res/serotype_genbank/serotype_23A.gb	"H,Q"	-	23	23c	-	-	-	serotype_23A_capsular_structure.svg	-
63	23B	CR931684	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_23B_cps.svg	-	res/serotype_genbank/serotype_23B.gb	"H,Q"	-	23	23d	-	-	-	serotype_23B_capsular_structure.svg	-
64	23F	CR931685	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_23F_cps.svg	-	res/serotype_genbank/serotype_23F.gb	"H,Q"	-	23	23b	-	-	-	serotype_23F_capsular_structure.svg	-
65	24A	CR931686	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_24A_cps.svg	-	res/serotype_genbank/serotype_24A.gb	C	-	24	"24c,24d"	-	-	-	serotype_24A_capsular_structure.svg	-
66	24B	CR931687	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_24B_cps.svg	-	res/serotype_genbank/serotype_24B.gb	C	-	24	24e	-	-	-	serotype_24B_capsular_structure.svg	-
67	24C	MW683298	-	Ganaie et al 2021 J Clin Microbiol	https://doi.org/10.1128/JCM.00540-21	serotype_24C_cps.svg	-	res/serotype_genbank/serotype_24C.gb	-	-	-	-	-	-	-	-	24B + 24F
68	24F	CR931688	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_24F_cps.svg	-	res/serotype_genbank/serotype_24F.gb	C	-	24	24d	-	-	-	serotype_24F_capsular_structure.svg	-
69	25A	CR931689	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_25A_cps.svg	-	res/serotype_genbank/serotype_25A.gb	I	-	25	25c	-	-	-	-	-
70	25F	CR931690	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_25F_cps.svg	-	res/serotype_genbank/serotype_25F.gb	I	-	25	25b	-	-	-	-	-
71	27	CR931691	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_27_cps.svg	-	res/serotype_genbank/serotype_27.gb	F	27	-	-	-	-	-	serotype_27_capsular_structure.svg	-
72	28A	CR931692	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_28A_cps.svg	-	res/serotype_genbank/serotype_28A.gb	H	-	28	28c	-	-	-	serotype_28A_capsular_structure.svg	-
73	28F	CR931693	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_28F_cps.svg	-	res/serotype_genbank/serotype_28F.gb	H	-	28	28b	-	-	-	serotype_28F_capsular_structure.svg	-
74	29	CR931694	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_29_cps.svg	-	res/serotype_genbank/serotype_29.gb	G	29	-	-	-	-	-	serotype_29_capsular_structure.svg	-
75	31	CR931695	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_31_cps.svg	-	res/serotype_genbank/serotype_31.gb	C	31	-	-	-	-	-	serotype_31_capsular_structure.svg	-
76	32A	CR931696	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_32A_cps.svg	-	res/serotype_genbank/serotype_32A.gb	F	-	32	"32a,32b"	-	-	-	serotype_32A_capsular_structure.svg	-
77	32F	CR931697	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_32F_cps.svg	-	res/serotype_genbank/serotype_32F.gb	F	-	32	32a	-	-	-	serotype_32F_capsular_structure.svg	-
78	33A	CR931698	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_33A_cps.svg	-	res/serotype_genbank/serotype_33A.gb	"E,T"	-	33	"33b,20b"	-	-	-	serotype_33A_capsular_structure.svg	-
79	33B	CR931699	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_33B_cps.svg	-	res/serotype_genbank/serotype_33B.gb	"E,T"	-	33	33f	-	-	-	serotype_33B_capsular_structure.svg	-
80	33C	CR931700	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_33C_cps.svg	-	res/serotype_genbank/serotype_33C.gb	"E,T"	-	33	33e(33f)	-	-	-	serotype_33C_capsular_structure.svg	-
81	33D	CR931701	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_33D_cps.svg	-	res/serotype_genbank/serotype_33D.gb	"E,T"	-	33	"33f,6a"	-	-	-	serotype_33D_capsular_structure.svg	-
82	33E	SAMEA2203953	-	Ganaie et al 2023  J Biol Chem	https://doi.org/10.1016/j.jbc.2023.105085	serotype_33E_cps.svg	-	res/serotype_genbank/serotype_33E.gb	-	-	-	-	-	-	-	serotype_33E_capsular_structure.svg	-
83	33F	CR931702	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_33F_cps.svg	-	res/serotype_genbank/serotype_33F.gb	"E,T"	-	33	33b	-	-	-	serotype_33F_capsular_structure.svg	-
84	33G	OR509570	-	Manna et al 2023 Microbiol Spectr	https://doi.org/10.1128%2Fspectrum.03579-23	serotype_33G_cps.svg	-	res/serotype_genbank/serotype_33G.gb	-	-	-	-	-	-	-	serotype_33G_capsular_structure.svg	-
85	34	CR931703	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_34_cps.svg	-	res/serotype_genbank/serotype_34.gb	G	34	-	-	-	-	-	serotype_34_capsular_structure.svg	-
86	35A	CR931704	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_35A_cps.svg	-	res/serotype_genbank/serotype_35A.gb	G	-	35	"35a,35c"	-	-	-	serotype_35A_capsular_structure.svg	-
87	35B	CR931705	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_35B_cps.svg	-	res/serotype_genbank/serotype_35B.gb	G	-	35	"35a,35c,29b"	-	-	-	serotype_35B_capsular_structure.svg	-
88	35C	CR931706	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_35C_cps.svg	-	res/serotype_genbank/serotype_35C.gb	G	-	35	"35a,35c,42a"	-	-	-	serotype_35C_capsular_structure.svg	-
89	35D	KY084476	various disruptive mutations in wciG	"Geno et al 2017 J Clin Microbiol,Lo et al 2018 J Clin Microbiol"	"https://doi.org/10.1128/JCM.00054-17,https://doi.org/10.1128/jcm.00228-18"	serotype_35D_cps.svg	-	res/serotype_genbank/serotype_35D.gb	G	-	-	-	"fs29b,fs35c"	"Antiserum available at Nahm Lab,Antiserum available at Nahm Lab"	Can be differentiated from 35B by SSI antisera based on the absence of reaction with SSI Factor Serum 35a	serotype_35D_capsular_structure.svg	-
90	35F	CR931707	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_35F_cps.svg	-	res/serotype_genbank/serotype_35F.gb	G	-	35	"35a,35b"	-	-	-	serotype_35F_capsular_structure.svg	-
91	36A	CR931708	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_36A_cps.svg	-	res/serotype_genbank/serotype_36A.gb	D	36	-	9e	-	-	-	serotype_36A_capsular_structure.svg	-
92	36B	MK606436	-	Ganaie et al 2023 J Clin Microbiol	https://doi.org/10.1128/jcm.00024-23	serotype_36B_cps.svg	-	res/serotype_genbank/serotype_36B.gb	D	36	-	-	-	-	-	serotype_36B_capsular_structure.svg	-
93	37	CR931709	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_37_cps.svg	-	res/serotype_genbank/serotype_37.gb	D	37	-	-	-	-	-	serotype_37_capsular_structure.svg	-
94	38	CR931710	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_38_cps.svg	-	res/serotype_genbank/serotype_38.gb	I	38	-	-	-	-	-	serotype_38_capsular_structure.svg	-
95	39	CR931711	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_39_cps.svg	-	res/serotype_genbank/serotype_39.gb	E	39	-	-	-	-	-	serotype_39_capsular_structure.svg	-
96	40	CR931712	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_40_cps.svg	-	res/serotype_genbank/serotype_40.gb	C	40	-	-	-	-	-	-	-
97	41A	CR931713	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_41A_cps.svg	-	res/serotype_genbank/serotype_41A.gb	F	-	41	41a	-	-	-	serotype_41A_capsular_structure.svg	-
98	41F	CR931714	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_41F_cps.svg	-	res/serotype_genbank/serotype_41F.gb	F	-	41	"41a,41b"	-	-	-	serotype_41F_capsular_structure.svg	-
99	42	CR931715	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_42_cps.svg	-	res/serotype_genbank/serotype_42.gb	G	42	-	-	-	-	-	serotype_42_capsular_structure.svg	-
100	43	CR931716	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_43_cps.svg	-	res/serotype_genbank/serotype_43.gb	I	43	-	-	-	-	-	-	-
101	44	CR931717	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_44_cps.svg	-	res/serotype_genbank/serotype_44.gb	I	44	-	-	-	-	-	-	-
102	45	CR931718	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_45_cps.svg	-	res/serotype_genbank/serotype_45.gb	I	45	-	-	-	-	-	serotype_45_capsular_structure.svg	-
103	46	CR931719	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_46_cps.svg	-	res/serotype_genbank/serotype_46.gb	I	46	-	-	-	-	-	-	-
104	47A	CR931720	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_47A_cps.svg	-	res/serotype_genbank/serotype_47A.gb	G	-	47	"47a,43b"	-	-	-	serotype_47A_capsular_structure.svg	-
105	47F	CR931721	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_47F_cps.svg	-	res/serotype_genbank/serotype_47F.gb	G	-	47	47a	-	-	-	serotype_47F_capsular_structure.svg	-
106	48	CR931722	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_48_cps.svg	-	res/serotype_genbank/serotype_48.gb	I	48	-	-	-	-	-	-	-
-	9X	MK606437	putative novel serotype based on nucleotide sequence encoding pneumococcal capsule	van Tonder et al 2019 Mgen	https://doi.org/10.1099/mgen.0.000274	serotype_9X_cps.svg	-	res/serotype_genbank/serotype_9X.gb	-	-	-	-	-	-	-	-	-
